CHEVROLET ;S10 ;2.5 -16V ;High Country Cabine Dupla 4x2;M -6 ;0.013;176;5.1;5.5;7;8
CHEVROLET ;S10 ;2.4 -8V ;LS ;M -5 ;0.053;187;4.8;5.5;7;8
CHEVROLET ;S10 ;2.4 -8V ;Advantage Cabine Dupla 4x2;M -5 ;0.053;187;4.8;5.5;7;8
CHEVROLET ;S10 ;2.5 -16V ;LS ;M -6 ;0.016;178;4.9;5.5;7;8
CHEVROLET ;S10 ;2.5 -16V ;LT ;M -6 ;0.016;178;4.9;5.5;7;8
CHEVROLET ;S10 ;2.5 -16V ;LTZ ;M -6 ;0.016;178;4.9;5.5;7;8
CHEVROLET ;S10 ;2.5 -16V ;L Free Ride Advantage Cabine Dupla 4x2;M -6 ;0.016;178;4.9;5.5;7;8
CHEVROLET ;S10 ;2.5 -16V ;LS ;M -6 ;0.016;178;4.9;5.5;7;8
CHEVROLET ;S10 ;2.5 -16V ;LT ;M -6 ;0.016;178;4.9;5.5;7;8
CHEVROLET ;S10 ;2.5 -16V ;LTZ ;M -6 ;0.016;178;4.9;5.5;7;8
CHEVROLET ;S10 ;2.5 -16V ;Free Ride Advantage Cabine Dupla 4x4;M -6 ;0.016;178;4.9;5.5;7;8
CHEVROLET ;S10 ;2.4 -8V ;LS Cabine Simples 4x2;M -5 ;0.053;187;4.8;5.5;7;8
CHEVROLET ;S10 (modelo 2017) ;2.5 -16V ;LS Cabine Dupla 4x2;M -6 ;0.047;153;5.6;6.4;8;10
CHEVROLET ;S10 (modelo 2017) ;2.5 -16V ;LT Cabine Dupla 4x2;M -6 ;0.047;153;5.6;6.4;8;10
CHEVROLET ;S10 (modelo 2017) ;2.5 -16V ;LTZ Cabine Dupla 4x2;M -6 ;0.047;153;5.6;6.4;8;10
CHEVROLET ;S10 (modelo 2017) ;2.5 -16V ;LT Cabine Dupla 4x4;M -6 ;0.061;160;5.3;6.1;8;9
CHEVROLET ;S10 (modelo 2017) ;2.5 -16V ;LTZ Cabine Dupla 4x4;M -6 ;0.061;160;5.3;6.1;8;9
CHEVROLET ;S10 (modelo 2017) ;2.5 -16V ;LS Cabine Simples 4x2;M -6 ;0.04;161;5.6;6;8;9
CHEVROLET ;S10 (modelo 2017) ;2.5 -16V ;High Country Cabine Dupla 4x2;M -6 ;0.051;154;5.5;6.4;8;10
CHEVROLET ;S10 (modelo 2017) ;2.5 -16V ;High Country Cabine Dupla 4x4;M -6 ;0.053;162;5.3;6.1;8;9
CHEVROLET ;S10 (modelo 2017) Diesel ;2.8 -16V ;LS Cabine Simples 4x4;M -6 ;0.289;211;0 ;0 ;9;10
CHEVROLET ;S10 (modelo 2017) Diesel ;2.8 -16V ;LS Cabine Chassis 4x4;M -6 ;0.289;211;0 ;0 ;9;10
CHEVROLET ;S10 (modelo 2017) Diesel ;2.8 -16V ;LS Cabine Dupla 4x4;M -6 ;0.316;223;0 ;0 ;8;10
CHEVROLET ;S10 (modelo 2017) Diesel ;2.8 -16V ;LT Cabine Dupla 4x4;M -6 ;0.316;223;0 ;0 ;8;10
CHEVROLET ;Camaro Conversével ;6.2 -16V ;2SS Conversivel;A -6 ;0.006;215;0 ;0 ;6;8
CHEVROLET ;Camaro Cupé ;6.2 -16V ;2SS ;A -6 ;0.006;215;0 ;0 ;6;8
CHRYSLER ;300C ;3.6 -24V ;300C ;A -8 ;0.009;168;0 ;0 ;7;10
CHRYSLER ;Town & Country ;3.6 -24V ;Touring ;A -6 ;0.033;196;0 ;0 ;6;9
CHRYSLER ;Town & Country ;3.6 -24V ;Limited ;A -6 ;0.033;196;0 ;0 ;6;9
CITROEN ;C3 ;1.5 -8V ;Origine ;M -5 ;0.009;103;8;10;12;15
CITROEN ;C3 ;1.5 -8V ;Attraction ;M -5 ;0.009;103;8;10;12;15
CITROEN ;C3 ;1.5 -8V ;Tendance ;M -5 ;0.009;103;8;10;12;15
CITROEN ;C3 ;1.6 -16V ;A Exclusive ;A -4 ;0.043;115;7.9;8.8;11;13
CITROEN ;C3 ;1.6 -16V ;A Tendance ;A -4 ;0.043;115;7.9;8.8;11;13
CITROEN ;DS3 ;1.6 -16V ;Sport Chic ;M -6 ;0.033;107;0 ;0 ;11;14
CITROEN ;C4 Lounge ;1.6 -16V ;THP A Origine ;A -6 ;0.02;115;7.1;9;11;13
CITROEN ;C4 Lounge ;1.6 -16V ;THP A Tendance;A -6 ;0.02;115;7.1;9;11;13
CITROEN ;C4 Lounge ;1.6 -16V ;THP A Exclusive ;A -6 ;0.02;115;7.1;9;11;13
CITROEN ;DS5 ;1.6 -16V ;Be Chic ;A -6 ;0.026;138;0 ;0 ;9;12
CITROEN ;DS5 ;1.6 -16V ;So Chic ;A -6 ;0.026;138;0 ;0 ;9;12
CITROEN ;Aircross ;1.6 -16V ;A Shine ;A -4 ;0.027;124;7.2;8.2;10;12
CITROEN ;Aircross ;1.6 -16V ;A Feel ;A -4 ;0.027;124;7.2;8.2;10;12
CITROEN ;Aircross ;1.6 -16V ;A Live ;A -4 ;0.027;124;7.2;8.2;10;12
CITROEN ;Aircross ;1.6 -16V ;Feel ;M -5 ;0.032;123;7.3;8.2;10;12
CITROEN ;Aircross ;1.5 -8V ;Start ;M -5 ;0.017;124;7.5;8.2;10;12
CITROEN ;Aircross ;1.5 -8V ;Live ;M -5 ;0.017;124;7.5;8.2;10;12
CITROEN ;Grand C4 Picasso ;1.6 -16V ;Seduction ;A -6 ;0.029;131;0 ;0 ;9;12
CITROEN ;Grand C4 Picasso ;1.6 -16V ;Intensive ;A -6 ;0.029;131;0 ;0 ;9;12
CITROEN ;Jumper ;2.3 -16V ;Minibus 2.3HDi 33M;M -5 ;0.289;236;0 ;0 ;8;10
CITROEN ;Jumper ;2.3 -16V ;Furgéo 2.3HDi 35LH;M -5 ;0.289;236;0 ;0 ;8;10
DODGE ;Durango ;3.6 -24V ;Limited ;A -8 ;0.013;190;0 ;0 ;7;9
DODGE ;Journey ;3.6 -24V ;SXT ;A -6 ;0.014;185;0 ;0 ;7;9
FERRARI ;458;4.5 -32V ;Speciale ;DCT -7 ;0.019;232;0 ;0 ;5;7
FERRARI ;California T ;3.8 -32V ;;DCT -7 ;0.01;201;0 ;0 ;6;10
FERRARI ;F12Berlinetta ;6.3 -48V ;;DCT -7 ;0.017;259;0 ;0 ;5;7
FIAT ;500;1.4 -16V ;Abarth ;M -5 ;0.009;120;0 ;0 ;11;12
FIAT ;500;1.4 -16V ;Cabrio Automético ;A  -6 ;0.027;124;6.9;8.2;10;12
FIAT ;500;1.4 -8V ;Cult ;M -5 ;0.019;115;7.6;8.7;11;13
FIAT ;500;1.4 -8V ;Cult Cabrio ;M -5 ;0.019;122;7.4;8.2;10;12
FIAT ;500;1.4 -8V ;Cult Cabrio Dualogic;MTA -5 ;0.034;117;7.6;8.2;11;12
FIAT ;500;1.4 -8V ;Cult Dualogic ;MTA -5 ;0.034;113;7.7;8.7;11;13
FIAT ;MOBI ;1.0 -8V ;Way ;M -5 ;0.017;107;8.4;9.2;12;13
FIAT ;MOBI ;1.0 -8V ;Way On ;M -5 ;0.017;107;8.4;9.2;12;13
FIAT ;MOBI ;1.0 -8V ;EASY ;M -5 ;0.023;98;8.7;10.1;13;15
FIAT ;MOBI ;1.0 -8V ;EASY ON ;M -5 ;0.017;107;8.4;9.2;12;13
FIAT ;MOBI ;1.0 -8V ;LIKE ;M -5 ;0.017;107;8.4;9.2;12;13
FIAT ;MOBI ;1.0 -8V ;LIKE ON ;M -5 ;0.017;107;8.4;9.2;12;13
FIAT ;Novo Uno ;1.0 -8V ;Attractive ;M -5 ;0.008;108;8;9.4;12;13
FIAT ;MICRO COMPACTO ;1.4 -8V ;Evolution ;M -5 ;0.009;98;8.8;10.1;13;15
FIAT ;Novo Uno ;1.4 -8V ;Sporting ;M -5 ;0.034;114;7.8;8.8;11;13
